iter	Passed	Remaining
0	47	47373
1	49	24477
2	50	16813
3	52	12981
4	53	10677
5	55	9139
6	56	8042
7	58	7216
8	59	6579
9	61	6064
10	62	5644
11	64	5293
12	65	4995
13	67	4739
14	68	4517
15	70	4323
16	71	4155
17	74	4043
18	75	3896
19	76	3731
20	77	3590
21	77	3461
22	78	3338
23	79	3224
24	80	3121
25	80	3025
26	81	2940
27	82	2855
28	82	2775
29	83	2700
30	84	2631
31	84	2565
32	85	2504
33	86	2449
34	86	2395
35	87	2343
36	88	2294
37	88	2247
38	89	2203
39	90	2161
40	90	2121
41	91	2083
42	91	2046
43	92	2012
44	93	1979
45	93	1947
46	94	1917
47	95	1887
48	95	1861
49	96	1834
50	97	1808
51	97	1783
52	98	1759
53	99	1736
54	99	1715
55	100	1694
56	101	1673
57	101	1653
58	102	1634
59	103	1614
60	103	1596
61	104	1578
62	104	1560
63	105	1543
64	106	1526
65	106	1511
66	107	1495
67	107	1475
68	108	1461
69	108	1446
70	109	1433
71	110	1419
72	110	1408
73	111	1395
74	112	1382
75	112	1370
76	113	1358
77	114	1347
78	114	1337
79	115	1327
80	116	1317
81	116	1306
82	117	1297
83	118	1287
84	118	1274
85	119	1265
86	119	1253
87	120	1244
88	120	1235
89	121	1226
90	121	1217
91	122	1209
92	123	1201
93	123	1193
94	124	1184
95	125	1177
96	125	1170
97	126	1163
98	127	1156
99	127	1149
100	128	1142
101	128	1132
102	129	1126
103	130	1120
104	130	1113
105	131	1107
106	131	1100
107	132	1094
108	133	1088
109	133	1082
110	134	1076
111	135	1070
112	135	1064
113	136	1058
114	136	1053
115	137	1046
116	137	1041
117	138	1035
118	139	1029
119	139	1024
120	140	1019
121	140	1014
122	141	1007
123	141	1002
124	142	997
125	143	993
126	143	989
127	144	983
128	145	979
129	145	975
130	146	971
131	147	966
132	147	962
133	148	958
134	148	954
135	149	950
136	150	946
137	150	941
138	151	937
139	151	932
140	152	928
141	153	925
142	153	921
143	154	918
144	155	914
145	155	910
146	156	906
147	156	903
148	157	899
149	158	896
150	158	893
151	159	890
152	160	886
153	160	883
154	161	880
155	162	877
156	162	873
157	163	870
158	164	867
159	164	864
160	165	861
161	167	865
162	167	862
163	168	859
164	169	856
165	169	853
166	170	850
167	171	850
168	172	850
169	174	850
170	175	850
171	176	850
172	177	850
173	179	850
174	180	850
175	181	850
176	182	849
177	184	849
178	185	849
179	186	849
180	187	846
181	188	846
182	189	846
183	190	846
184	192	845
185	193	845
186	194	845
187	195	844
188	196	844
189	198	844
190	199	843
191	200	843
192	201	843
193	202	843
194	204	842
195	205	842
196	206	842
197	207	841
198	208	840
199	209	838
200	210	837
201	211	837
202	213	836
203	214	835
204	215	836
205	216	835
206	217	833
207	219	835
208	221	838
209	222	836
210	222	833
211	223	830
212	224	829
213	225	827
214	226	826
215	227	827
216	228	826
217	229	824
218	231	825
219	232	824
220	233	822
221	234	820
222	235	819
223	236	818
224	237	819
225	239	818
226	240	817
227	241	816
228	242	816
229	243	815
230	244	814
231	246	814
232	246	812
233	247	810
234	248	809
235	249	808
236	250	807
237	252	808
238	253	807
239	254	805
240	255	803
241	256	802
242	256	800
243	257	798
244	258	796
245	259	794
246	259	791
247	260	789
248	261	787
249	261	784
250	262	782
251	263	782
252	265	783
253	266	783
254	268	783
255	269	784
256	271	784
257	272	784
258	274	784
259	275	785
260	277	785
261	278	785
262	280	785
263	281	785
264	283	785
265	284	786
266	286	786
267	287	786
268	289	786
269	290	786
270	292	786
271	293	786
272	295	786
273	296	786
274	298	786
275	299	786
276	301	786
277	302	786
278	304	786
279	305	786
280	307	786
281	308	786
282	310	786
283	311	786
284	313	786
285	314	785
286	316	785
287	317	785
288	319	785
289	320	785
290	322	785
291	323	785
292	325	785
293	326	785
294	328	784
295	330	784
296	331	784
297	333	784
298	334	784
299	336	784
300	337	783
301	339	783
302	340	783
303	342	783
304	343	782
305	345	782
