iter	Passed	Remaining
0	1	1175
1	6	3440
2	9	3174
3	13	3373
4	14	2906
5	15	2611
6	16	2409
7	17	2221
8	21	2360
9	22	2269
10	24	2159
11	24	2049
12	25	1950
13	31	2239
14	33	2203
15	34	2121
16	35	2051
17	36	1989
18	37	1938
19	38	1890
20	39	1836
21	41	1825
22	41	1778
23	42	1737
24	43	1698
25	44	1660
26	45	1626
27	46	1605
28	47	1580
29	48	1552
30	49	1531
31	49	1505
32	50	1479
33	51	1455
34	52	1435
35	52	1415
36	56	1462
37	57	1449
38	58	1430
39	58	1410
40	59	1393
41	60	1377
42	61	1361
43	62	1351
44	62	1336
45	63	1321
46	64	1307
47	65	1293
48	65	1280
49	66	1268
50	67	1256
51	70	1281
52	71	1273
53	72	1261
54	72	1253
55	73	1246
56	74	1239
57	75	1232
58	76	1223
59	77	1216
60	78	1207
61	79	1198
62	79	1187
63	80	1177
64	81	1168
65	82	1163
66	83	1157
67	86	1187
68	88	1191
69	90	1204
70	92	1206
71	94	1213
72	96	1219
73	98	1228
74	101	1252
75	103	1256
76	105	1264
77	107	1272
78	108	1264
79	109	1259
80	116	1326
81	118	1327
82	119	1319
83	123	1350
84	124	1344
85	125	1335
86	128	1353
87	131	1360
88	132	1351
89	134	1363
90	135	1355
91	136	1349
92	137	1340
93	138	1331
94	138	1323
95	139	1317
96	140	1309
97	141	1302
98	142	1293
99	142	1285
100	143	1278
101	145	1279
102	147	1280
103	147	1274
104	148	1267
105	149	1260
106	150	1253
107	150	1246
108	151	1242
109	153	1238
110	154	1234
111	154	1228
112	157	1235
113	158	1229
114	158	1223
115	160	1224
116	161	1219
117	162	1213
118	163	1208
119	164	1203
120	164	1198
121	165	1191
122	166	1190
123	167	1185
124	168	1179
125	169	1174
126	171	1179
127	172	1174
128	173	1169
129	173	1164
130	179	1188
131	180	1183
132	180	1177
133	181	1172
134	182	1166
135	183	1165
136	184	1159
137	186	1165
138	188	1170
139	191	1179
140	193	1181
141	196	1187
142	197	1182
143	198	1177
144	199	1173
145	199	1168
146	200	1163
147	203	1168
148	203	1164
149	207	1174
150	208	1170
151	209	1167
152	210	1163
153	212	1169
154	214	1168
155	214	1162
156	219	1179
157	224	1195
158	225	1191
159	227	1196
160	228	1190
161	229	1188
162	230	1183
163	231	1180
164	232	1177
165	233	1172
166	234	1167
167	234	1163
168	239	1175
169	241	1176
170	241	1172
171	242	1168
172	245	1174
173	246	1171
174	248	1170
175	256	1198
176	257	1197
177	258	1192
178	258	1187
179	260	1185
180	262	1185
181	263	1182
182	264	1178
183	270	1199
184	272	1201
185	273	1198
186	274	1194
187	275	1191
188	276	1187
189	277	1184
190	280	1186
191	284	1197
192	285	1193
193	286	1189
194	286	1184
195	288	1181
196	291	1187
197	292	1186
198	294	1183
199	294	1179
200	295	1175
201	297	1174
202	298	1172
203	300	1173
204	302	1172
205	303	1168
206	306	1175
207	308	1174
208	310	1174
209	311	1171
210	313	1172
211	315	1172
212	317	1173
213	318	1169
214	323	1182
215	324	1178
216	328	1184
217	329	1181
218	332	1184
219	333	1181
220	339	1195
221	341	1196
222	342	1194
223	346	1198
224	347	1197
225	349	1195
226	350	1193
227	354	1200
228	355	1196
229	356	1191
230	356	1187
231	360	1192
232	362	1193
233	363	1189
234	368	1200
235	371	1202
236	372	1198
237	372	1194
238	373	1190
239	374	1186
240	375	1182
241	376	1178
242	386	1203
243	387	1199
244	388	1195
245	392	1201
246	394	1201
247	394	1197
248	395	1193
249	396	1188
250	396	1184
251	397	1180
252	401	1184
253	402	1180
254	402	1176
255	403	1173
256	404	1169
257	405	1165
258	405	1161
259	406	1157
260	407	1154
261	408	1151
262	409	1147
263	410	1143
264	411	1140
265	411	1136
266	412	1132
267	413	1129
268	415	1128
269	416	1125
270	417	1122
271	417	1118
272	419	1116
273	419	1112
274	420	1109
275	421	1106
276	422	1102
277	423	1100
278	424	1096
279	425	1093
280	425	1089
281	426	1086
282	427	1083
283	428	1080
284	430	1079
285	431	1076
286	431	1073
287	433	1070
288	433	1067
289	434	1064
290	435	1061
291	436	1057
292	437	1054
293	438	1052
294	439	1049
295	440	1046
296	441	1044
297	442	1041
298	443	1038
299	444	1037
300	445	1034
301	446	1032
302	447	1029
303	448	1026
304	449	1023
305	449	1020
306	450	1017
307	452	1017
308	454	1016
309	455	1013
310	460	1019
311	461	1017
312	463	1017
313	464	1015
314	465	1012
315	466	1009
316	467	1006
317	467	1003
318	468	1000
319	469	998
320	470	995
321	471	992
322	472	989
323	473	988
324	474	986
325	475	983
326	476	981
327	477	978
328	478	975
329	479	973
330	480	970
331	481	967
332	481	964
333	482	962
334	483	959
335	484	957
336	485	954
337	485	951
338	488	952
339	489	950
340	490	947
341	491	945
342	492	942
343	493	940
344	494	937
345	494	935
346	495	932
347	496	930
348	497	927
349	498	925
350	498	922
351	499	919
352	500	916
353	501	914
354	503	915
355	504	913
356	505	910
357	506	907
358	507	905
359	508	903
360	509	901
361	509	898
362	510	895
363	511	893
364	511	890
365	512	888
366	513	885
367	514	882
368	514	880
369	515	878
370	516	875
371	518	875
372	519	873
373	520	871
374	521	868
375	522	866
376	523	864
377	523	861
378	524	859
379	525	856
380	525	854
381	526	851
382	527	849
383	527	846
384	528	844
385	536	853
386	537	851
387	538	849
388	539	846
389	539	844
390	540	841
391	541	839
392	543	839
393	545	838
394	547	838
395	550	839
396	552	839
397	555	840
398	556	838
399	560	840
400	561	838
401	562	836
402	563	834
403	569	839
404	569	837
405	570	834
406	571	832
407	576	836
408	577	834
409	578	832
410	582	835
411	583	833
412	586	834
413	587	832
414	588	829
415	589	827
416	589	824
417	590	822
418	591	819
419	591	817
420	592	815
421	593	813
422	598	816
423	600	815
424	602	815
425	603	813
426	606	813
427	608	813
428	616	819
429	621	823
430	622	821
431	624	820
432	638	835
433	639	833
434	640	831
435	641	829
436	652	840
437	652	837
438	653	835
439	654	832
440	655	830
441	657	829
442	661	831
443	663	830
444	664	828
445	665	826
446	665	823
447	666	821
448	667	818
449	667	816
450	668	813
451	669	811
452	669	809
453	670	806
454	672	805
455	676	807
456	677	805
457	679	803
458	679	801
459	681	799
460	682	798
461	684	796
462	686	795
463	689	796
464	692	797
465	694	795
466	695	793
467	699	794
468	701	793
469	702	792
470	705	792
471	709	794
472	711	792
473	713	791
474	715	791
475	718	790
476	719	788
477	726	793
478	728	792
479	729	790
480	729	787
481	730	785
482	731	782
483	732	780
484	732	778
485	733	775
486	734	773
487	734	771
488	736	770
489	740	770
490	743	770
491	743	768
492	744	765
493	745	763
494	746	761
495	746	758
496	747	756
497	748	754
498	748	751
499	749	749
500	755	752
501	756	750
502	757	748
503	757	745
504	758	743
505	759	741
506	762	741
507	763	739
508	766	739
509	771	741
510	773	739
511	774	738
512	776	736
513	778	736
514	779	733
515	780	731
516	786	734
517	787	733
518	788	730
519	789	728
520	790	726
521	790	724
522	791	721
523	792	720
524	793	717
525	794	715
526	795	713
527	802	717
528	803	715
529	804	713
530	804	710
531	805	708
532	806	706
533	806	704
534	807	701
535	808	699
536	808	697
537	809	695
538	812	694
539	814	693
540	815	692
541	816	690
542	817	687
543	818	685
544	818	683
545	819	681
546	820	679
547	821	677
548	821	675
549	822	673
550	823	670
551	824	668
552	824	666
553	825	664
554	826	662
555	829	662
556	830	660
557	831	658
558	831	656
559	832	654
560	833	652
561	834	650
562	835	648
563	836	646
564	836	644
565	837	642
566	838	640
567	847	644
568	855	648
569	856	646
570	857	644
571	860	643
572	861	642
573	862	640
574	863	638
575	864	636
576	865	634
577	866	632
578	867	630
579	868	628
580	869	626
581	870	625
582	871	623
583	871	621
584	873	619
585	875	618
586	876	616
587	877	614
588	878	613
589	879	611
590	880	609
591	880	607
592	881	605
593	883	603
594	884	601
595	884	599
596	885	598
597	887	596
598	888	594
599	890	593
600	891	591
601	892	589
602	892	587
603	897	588
604	899	587
605	901	585
606	903	585
607	906	584
608	908	583
609	909	581
610	910	579
611	911	577
612	912	575
613	913	574
614	914	572
615	915	570
616	916	568
617	917	567
618	919	566
619	921	564
620	921	562
621	922	560
622	923	558
623	924	556
624	924	554
625	925	553
626	926	551
627	927	549
628	930	549
629	932	547
630	933	545
631	934	544
632	935	542
633	936	540
634	936	538
635	937	536
636	938	535
637	939	533
638	940	531
639	941	529
640	942	527
641	943	525
642	944	524
643	946	522
644	952	524
645	953	522
646	954	520
647	954	518
648	955	516
649	956	514
650	957	513
651	959	512
652	960	510
653	966	511
654	968	510
655	969	508
656	970	506
657	971	505
658	979	506
659	980	505
660	981	503
661	982	501
662	982	499
663	988	500
664	989	498
665	990	496
666	991	494
667	1000	497
668	1001	495
669	1002	493
670	1002	491
671	1003	489
672	1004	488
673	1005	486
674	1005	484
675	1006	482
676	1007	480
677	1010	479
678	1011	478
679	1012	476
680	1012	474
681	1026	478
682	1028	477
683	1029	475
684	1032	474
685	1035	473
686	1037	472
687	1038	471
688	1039	469
689	1040	467
690	1046	467
691	1047	466
692	1047	464
693	1048	462
694	1052	461
695	1053	459
696	1053	458
